Date,Open,High,Low,Close,Adj Close,Volume
1/2/2020,6313.12793,6317.013184,6263.675781,6283.581055,6283.581055,33043700
1/3/2020,6306.187012,6323.46582,6287.706055,6323.46582,6323.46582,44625300
1/6/2020,6293.499023,6300.436035,6252.634766,6257.402832,6257.402832,41421300
1/7/2020,6272.220215,6284.89209,6246.128906,6279.346191,6279.346191,39441600
1/8/2020,6248.442871,6250.12207,6218.129883,6225.686035,6225.686035,44622600
1/9/2020,6248.661133,6274.493164,6238.98291,6274.493164,6274.493164,41868400
1/10/2020,6287.166992,6295.370117,6271.97998,6274.940918,6274.940918,52213500
1/13/2020,6287.912109,6297.775879,6269.480957,6296.566895,6296.566895,44003800
1/14/2020,6308.890137,6325.405762,6298.60791,6325.405762,6325.405762,44467400
1/15/2020,6326.166016,6348.525879,6255.498047,6283.365234,6283.365234,51089200
1/16/2020,6275.956055,6299.541016,6255.493164,6286.047852,6286.047852,42118300
1/17/2020,6293.782227,6301.484863,6266.932129,6291.657227,6291.657227,37597900
1/20/2020,6310.500977,6312.98877,6240.189941,6245.042969,6245.042969,38818200
1/21/2020,6251.99707,6257.884766,6226.063965,6238.152832,6238.152832,41929600
1/22/2020,6241.575195,6265.51416,6223.189941,6233.453125,6233.453125,51077800
1/23/2020,6243.998047,6255.042969,6229.130859,6249.209961,6249.209961,41256500
1/24/2020,6242.834961,6258.851074,6234.825195,6244.108887,6244.108887,38828900
1/27/2020,6240.817871,6242.176758,6130.928223,6133.208008,6133.208008,43723000
1/28/2020,6111.184082,6111.184082,6111.184082,6111.184082,6111.184082,0
1/29/2020,6123.095215,6152.588867,6102.795898,6113.044922,6113.044922,34605300
1/30/2020,6057.596191,6057.596191,6057.596191,6057.596191,6057.596191,0
1/31/2020,6076.458984,6078.930176,5937.021973,5940.047852,5940.047852,41508700
2/3/2020,5920.967773,5942.782227,5877.201172,5884.169922,5884.169922,34951000
2/4/2020,5947.506836,5952.946777,5911.375,5922.338867,5922.338867,36217700
2/5/2020,5955.519043,5978.509766,5924.374023,5978.509766,5978.509766,39786600
2/6/2020,5987.14502,5987.14502,5987.14502,5987.14502,5987.14502,0
2/7/2020,5988.058105,6004.812012,5981.644043,5999.606934,5999.606934,35281700
2/10/2020,5993.376953,5996.46582,5937.380859,5952.083008,5952.083008,34305400
2/11/2020,5954.396973,5954.396973,5954.396973,5954.396973,5954.396973,0
2/12/2020,5957.060059,5962.347168,5895.724121,5913.081055,5913.081055,29256800
2/13/2020,5921.912109,5929.499023,5860.254883,5871.954102,5871.954102,33248200
2/14/2020,5857.721191,5890.028809,5843.432129,5866.944824,5866.944824,27655200
2/17/2020,5863.914063,5878.463867,5853.598145,5867.522949,5867.522949,28723300
2/18/2020,5856.880859,5907.13916,5855.924805,5886.961914,5886.961914,34641400
2/19/2020,5898.899902,5928.791016,5898.701172,5928.791016,5928.791016,34517800
2/20/2020,5941.450195,5960.712891,5929.14502,5942.486816,5942.486816,37350100
2/21/2020,5940.785156,5944.205078,5873.731934,5882.254883,5882.254883,36665400
2/24/2020,5846.145996,5863.124023,5787.919922,5807.049805,5807.049805,40039600
2/25/2020,5784.736816,5814.679199,5752.334961,5787.138184,5787.138184,39502600
2/26/2020,5757.166992,5757.740234,5688.920898,5688.920898,5688.920898,39521300
2/27/2020,5680.437012,5684.286133,5526.816895,5535.693848,5535.693848,41308700
2/28/2020,5436.171875,5456.275879,5288.370117,5452.704102,5452.704102,49636800
3/2/2020,5455.045898,5491.134766,5354.620117,5361.246094,5361.246094,40235000
3/3/2020,5431.295898,5545.773926,5431.295898,5518.62793,5518.62793,42974300
3/4/2020,5524.094238,5651.85498,5516.805176,5650.13623,5650.13623,45255400
3/5/2020,5688.778809,5715.940918,5613.719238,5638.129883,5638.129883,40684000
3/6/2020,5575.565918,5577.801758,5498.540039,5498.540039,5498.540039,32430900
3/9/2020,5364.604004,5364.604004,5133.150879,5136.809082,5136.809082,42737600
3/10/2020,5149.493164,5278.422852,5149.452148,5220.826172,5220.826172,44495700
3/11/2020,5231.608887,5264.47998,5112.318848,5154.10498,5154.10498,46650100
3/12/2020,5040.964844,5040.987793,4895.748047,4895.748047,4895.748047,36992900
3/13/2020,4895.748047,4937.993164,4639.914063,4907.570801,4907.570801,46288600
3/16/2020,4907.570801,4907.570801,4677.75,4690.657227,4690.657227,30471900
3/17/2020,4690.657227,4698.043945,4447.956055,4456.749023,4456.749023,30662200
3/18/2020,4456.749023,4473.824219,4284.674805,4330.673828,4330.673828,38642900
3/19/2020,4330.673828,4330.673828,4093.714111,4105.421875,4105.421875,26383700
3/20/2020,4105.421875,4238.263184,3918.340088,4194.943848,4194.943848,63008300
3/23/2020,4194.943848,4194.943848,3975.190918,3989.51709,3989.51709,32514300
3/24/2020,3989.51709,4123.562012,3911.716064,3937.63208,3937.63208,45744100
3/26/2020,3937.63208,4370.660156,3935.914063,4338.903809,4338.903809,81100100
3/27/2020,4338.903809,4697.666016,4338.903809,4545.570801,4545.570801,77851100
3/30/2020,4545.570801,4545.570801,4317.713867,4414.5,4414.5,27552200
3/31/2020,4414.5,4569.473145,4414.5,4538.930176,4538.930176,43426600
4/1/2020,4538.930176,4627.417969,4445.138184,4466.037109,4466.037109,41848000
4/2/2020,4466.037109,4531.685059,4393.668945,4531.685059,4531.685059,46011500
4/3/2020,4531.685059,4623.429199,4531.685059,4623.429199,4623.429199,58684300
4/6/2020,4623.429199,4811.827148,4623.429199,4811.827148,4811.827148,70452900
